CUI,CAEN,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37
36431756,6499,466284,1399628,1349018,50610,0,4147,1338051,,,,0,0,,,,,532007,2861245,3285285,3281850,3435,0,2609232,15694,660359,0,532007,0,211,,,45,49340,,,,
8017326,6499,2780537,17740951,816800,14027042,2897109,227,14653605,,,,6805745,5400000,,196968,,1682155,5868110,1407666,1900756,1508180,392576,2363659,2063622,93137,0,256003,0,256003,,940394,3236217,13060,14010192,1000000,1000000,,
7411208,6499,3498437,2853123,17913,2835210,,5784,2818249,594435,,9035,1373407,400000,1514767,,,,2935625,277303,404419,290326,114093,416174,436655,313,0,32549,0,32549,7,3497058,,2086,2833124,,,,
7631041,6499,78006,23879069,770056,22573137,535652,7535,21948007,,,3450,6293877,5162757,,2317007,0,1131120,2013153,1578154,2136186,1588931,547255,2554129,2820976,21387,0,706177,0,706177,16,129388,535652,320,22572817,,,,
9493581,6612,1305216,3673269,7860,2038653,1622676,25179,1607997,,,,2879167,2850000,290493,,,,3395667,593766,1299214,715360,583854,1146529,947908,443729,0,92423,0,118422,15,399448,1622676,8045,2030132,,,,
9415761,6499,227105,21206893,2113944,3516715,15569936,20867,920890,0,0,1017081,2348960,1200000,390529,0,0,1148960,19516894,17860182,18174671,17867264,307407,11477643,9201524,36207,8936940,0,7509930,0,37,49905,0,2693,1952517,0,0,0,0
7448690,6499,3501826,5296163,429714,4866449,,400,4391158,,,,2393061,400000,2102835,0,,,4407231,202492,327426,211182,116244,491439,495624,1459,0,169657,0,169657,8,3457633,,1887,4864546,,,,
21862157,6430,10731,3213632,50857,2628199,534576,1616,26312,,,,3235200,3235200,55687,0,,,3199667,154404,244810,155854,88956,638362,343460,63272,0,161922,0,161922,,700,717703,837,2627363,,,,
8882408,6499,742509,3076274,65183,3011091,,,2711800,,,,814369,1400000,226160,,,,1106981,397872,413015,399588,13427,596080,499883,,0,86868,0,86868,16,741989,,4123,3006968,,,,
6584502,6611,15348620,1777941,84533,89760,1603648,6194,460743,,,11000,34976156,33427926,,16505162,,1548230,16661012,402335,445467,421204,24263,7490015,2306011,5046,0,1865590,0,1865590,12,28004778,,116,89635,,,,
15715453,6612,301248,18723629,2783413,13376804,2563412,66589,14508906,41939,,,7012175,7012175,,2782066,,,4540621,5473840,6518719,5474142,1044577,3309025,5601752,854520,62447,0,62447,0,14,148021,2563412,2660,13374144,,,,
13236071,6630,151220,28628638,2048531,1725286,24854821,42503,1785947,,,,4000000,4000000,13520458,,,,27036414,23359577,24112874,23359746,753128,11816088,13530432,413314,10169128,0,8625138,0,10,,24854821,547,5102,,,,
7447600,6499,3145146,2638155,48009,1402089,1188057,4699,1413265,385108,,,1166070,831000,,997284,,,3989629,40026,1923632,40026,1883606,1034809,768353,1552325,0,397046,0,397046,7,3126759,1188057,1869,1400216,,,,
