"HERMIS TRANSRUT SRL","15320097","J13/1149/2003","ROONRC.J13/1149/2003","1048","Loc. Ovidiu, Oras Ovidiu, Str. CAMINULUI Nr. 44, Judet Constanta","995","995","24409","","","24409","","21224","21224","","4180","200","","30785","30785","24492","6293","0","5369","0",""
"PLATANUS SRL","14734163","J38/297/2002","ROONRC.J38/297/2002","1048,2080","Sat Voinesita, Comuna Voineasa, Com. Voineasa Nr. 30, Judet Valcea","835056","835056","2267251","167214","198999","1901038","","149130","149130","","2953177","400","","2699233","3287966","2719375","568591","","482754","","8"
"DICIMAR SERVICE SRL","17214327","J38/136/2005","ROONRC.J38/136/2005","1048,2080","Sat Galicea, Comuna Galicea, com. Galicea, Judet Valcea","17526","17526","14664","13847","","817","","141298","141298","","-109108","200","","67086","67086","75629","0","8543","0","10194","1"
"IDAMCO CONSULTING SRL","15359283","J13/1247/2003","ROONRC.J13/1247/2003","1048,2080","Municipiul Constanta, Str. CONSTANTIN BOBESCU Nr. 50, Etaj P, Judet Constanta","","","1744","","","1744","","157740","157740","","-155996","240","","50642","50642","65076","0","14434","0","15954",""
"NOVO HIDRAULIC SRL","431470","J40/1594/1991","ROONRC.J40/1594/1991","1048,2080","Bucuresti Sectorul 2, Str. BADEA CARTAN Nr. 14, Apartament 2","1443902","1443902","143337","27418","106602","9317","7694","458637","458637","","819599","21840","","771034","841671","607796","233875","0","223910","0","10"
"AL.DOM CONSULTING SRL","15364719","J13/1293/2003","ROONRC.J13/1293/2003","1048,2080","Municipiul Constanta, B-dul TOMIS Nr. 309, Bloc 10B, Scara A, Etaj 10, Apartament 39, Judet Constanta","","","9856","1069","5005","3782","","4326","4326","","5530","200","","207515","208968","196724","12244","0","10155","0","3"
"POPCHIS AMANET S.R.L.","36605216","J38/749/2016","ROONRC.J38/749/2016","1048","Municipiul Ramnicu Valcea, Str. ION REFERENDARU Nr. 4, Bloc A18, Scara A, Apartament 7, Judet Valcea","6492","","165303","","152220","13083","","115173","","","50130","200","","89989","89989","37324","52665","0","51765","0","2"
"DOMANI GIO SRL","15433860","J13/1558/2003","ROONRC.J13/1558/2003","1048,2080","Municipiul Mangalia, Str. EZERULUI Nr. 46BIS, Judet Constanta","","","","","","","","12504","12504","","-12504","200","","","0","","0","0","0","0",""
"LICITATII AUTO SRL-D","35431553","J40/522/2016","ROONRC.J40/522/2016","1048","Bucuresti Sectorul 5, Str. MOS ADAM Nr. 21","4511","","1671","","","1671","","5000","","","-3329","200","","","0","","0","0","0","0",""
"SIBEL INTERCOM SRL","15469596","J13/1715/2003","ROONRC.J13/1715/2003","1048,2080","Municipiul Constanta, Str. UNIRII Nr. 112, Bloc U6A, Scara B, Apartament 35, Judet Constanta","0","0","8813","","5387","3426","","130686","130686","","-121873","200","","8988","13827","11814","2013","0","1598","0",""
